song_no,song_name,song_label,song_feature
31,Make my story,129.19921875,"[-0.5911529870726948, 1.719824303587111, 0.3611688643752923, 0.21413086024634376, 0.3878019315335856, 0.4939437391499683, 1.3919024478619013, -0.3866582291791908, -0.8736522334520626, 0.6793572209987506, -0.6468773199534579, -0.05342992926232383, -0.3761290245673293, 0.6609540002406893, 0.09255846143627315, 0.5668641395036705, -0.04063884052883379, 0.4695793724697041, 0.49540688312583686, -0.3805816375678974, -0.5570027848637702, 0.08469236142927344, 0.2373499064761844, 0.1257309074719916, -0.0015601505200773956, -0.10507336056049855]"
32,Maps,117.45383522727273,"[0.30843953000095325, 0.5337199279389496, 0.5334970941361539, 0.7697300805988366, 0.7793896804916388, 0.10716836136636863, 0.7635189176350129, -0.5345554786229519, 0.4267749465874533, 0.26808084001972576, -0.5813212957151401, 0.9857517668981539, 0.2017982895832306, 0.9189705048828448, 0.4543994888151154, 0.6247225060878009, 0.78068149708608, 0.6521542406760218, 0.8247662133177227, 0.147258189490827, 0.4417308134899884, 0.6748382730176248, 0.3476682798987441, 1.3988877611860182, 0.8211903057505947, 0.9036104231088399]"
33,ME! (feat,184.5703125,"[0.6805703486432004, -0.03652000269283573, 0.6596933099035005, 0.6785177990986514, 0.7543879309573107, 0.48484381030271695, 0.5720150122663723, -0.5406883403348568, 0.0904430842870395, 0.41321477804578244, -0.20952808294957367, 0.40468640973676734, -0.525841998826278, 0.06740140801779665, 0.252555692627875, 0.25855078814626903, 0.6184607491854247, 0.9476308746870847, 0.41148193909260555, 0.34105401236816596, 0.1508248677074587, 0.42415026328462524, -0.14543620464662443, 0.10260994053287709, 0.8147507465759665, 0.7138318778576358]"
34,mede：mede,117.45383522727273,"[-0.26041428302314384, 0.31717505248518596, 1.2929233956515134, 1.4185109217011513, 1.3878910517810765, 1.3141529313909006, 0.9811146627322213, -0.8020535872318073, -0.02293903501418933, -2.1038702959148448, -0.9941726098188881, 0.08049594715552942, 0.026269451053987963, -0.6378042259762239, 1.5780479027761776, -0.6470520103494737, -0.13849698597700064, -0.31714220740738897, 0.1625027818750447, -1.0430761546605503, -0.47212377347928175, -0.7197869690000459, -0.42767011909251584, -0.28140306906219414, 0.9700858406623417, 1.0756341806412208]"
35,Mr,129.19921875,"[1.7828840181185412, 2.109066398082016, 3.1764840344624057, 2.301865327255358, 2.6552162746678833, 3.1876930885888597, 1.6635528121124301, -2.294945471312633, 0.7904755434019968, -0.4523323005801546, 1.8183460250484231, 0.5734197652865664, 1.4866345347605088, 0.8946859609246125, 1.162795439315831, -0.26943579319355704, 0.6267484909640968, 1.041999682759544, -0.16792744292334458, 0.3555077038004263, -0.14880101956664732, 1.0500361045790831, 1.0551608310996996, 1.0625543837961418, 0.8271941472246294, 0.039064606579638055]"
36,My Demons,172.265625,"[1.1724332712212624, 0.6458584377374323, 1.1950013324187825, 0.4240093502615586, 0.8926918166819093, 2.2022878097463323, 1.5540544888236862, -1.0498793781978895, -1.4635878215723388, 0.5024945190381886, -0.8490602972305307, 0.017316961065080187, -0.6038270773560349, 0.9780285147506482, 0.4889710472078337, 0.8759810206472869, 0.555685357098346, 0.48970107154708126, -0.24464176823960515, -0.26583641943407665, -0.9317639475692734, 0.4383732784515287, 0.24672208143736182, 0.5734324482874951, 0.8128403564730947, 0.1585228479180455]"
37,Oceans,117.45383522727273,"[0.5547732241951528, 0.8759292455077512, -0.6683400777023177, -0.6872916283154648, -0.5151127439813483, -1.0955445816337357, 0.20600649425549641, 0.8160090396167763, -0.5734615500015755, 0.24813490312588918, -0.784384402922905, 0.9344210461310727, 0.881074543891644, 0.9773966862651929, 0.5768640354107013, -0.7868483543036567, -0.30502580032671706, 0.5869343648943303, 2.545684373540825, 2.5748172412074903, 2.3878999111615515, 1.7313209149438722, 1.2178834721081169, -0.3320226827363304, -0.23824408272184208, 0.5903602136131554]"
38,On My Own,172.265625,"[0.04701099337922455, 0.7628817869776713, 0.424468467856059, 0.6530725695074716, 0.6110058639034627, 0.2710806877186016, 0.8305454317450895, -0.31105418940608814, 0.1943735664802444, 0.07723408829768143, 0.6429913708423025, 0.19730456580938716, -0.6890747682657774, 0.8915512081879606, -0.05450210694488248, -0.17342015738602762, 1.1464590946068478, 0.6834414064261782, 0.26258756808030925, -0.018662885631341518, -0.35585332981230205, 0.3754852985294001, 0.0300688810405708, 0.15382421070650726, 0.37941297975590366, 0.06507585846569278]"
39,One Too Many,83.35433467741936,"[0.7775886714616842, 0.35100793305280736, -0.03255895488127914, 0.4513979649362648, 0.06870585901303587, -0.3060093068554474, 0.2623746803201886, -0.05623103086633082, 0.76594527198398, 0.5434221444039403, 1.1983691545288708, -0.19464314913778405, 1.8773964778995773, 0.44562636460371746, 0.15887856490578015, 1.1824350294112476, 0.4767122697098027, 0.5873490166042298, 0.6543376277986342, 0.3589304453709629, 0.4126600653072735, -0.4640088878778682, 0.13256504035185715, 0.23707870005990925, -0.1902074542501874, 0.7455439465008514]"
40,Oops,103.359375,"[-0.3042735389489629, 0.6924675199161568, 0.10003068525862992, -0.1820651775711511, -0.17861305504598657, 0.5240609818142162, 0.5946466118833739, 0.10134775151895546, -1.2338241979456461, -0.7368848970185039, -0.8907005420248445, -1.6181786992022031, -0.4794299287508787, -1.28011653314285, -0.16255514316014483, -0.6024230134894091, -1.013967722802917, 0.6297123958579329, -1.1093967955591517, 0.026233763867928195, -1.2568410198023192, -0.8792002793941854, 0.14398258719098403, -0.1295072562921247, 0.3353483009067612, 0.414924955479302]"
