song_no,song_name,song_label,song_feature
31,Trip,129.1992188,"[-0.493476728090074, 0.37315208212169493, 0.5585012351071252, 0.5124241317147514, 0.5646745364096531, 0.27752882667480144, 0.4334839501325995, -0.8017955660219321, -0.22374089126920715, 0.4269334410058577, -0.10066543745358386, 0.5243411347994854, 0.270213943967294, 0.2885102433460642, 0.17293911037089307, 0.3809553045769146, 1.0942030939726455, 0.6074601596845651, -0.14410595852114272, -0.15095270343026249, -0.15362488334966412, 0.39065058382522466, 0.6253863744524433, 0.6808679546528781, 0.6915126454741776, 1.0942625947132596]"
32,Vitality,151.9990809,"[0.9348586861445888, -0.014500034546621346, -0.4579260402971703, 0.42302814940448463, 0.02006400808216736, -1.7788284060092037, -0.19277844638597197, -0.10308801475423938, 2.200443735888317, 1.360073236421392, 0.4649261805540043, 0.9341582985364172, 0.7425586105468663, 1.012456319166805, 1.1227862385157164, 0.9643683711387505, 1.591677603181219, 1.8252396478993727, 1.565591461625919, 1.2894754708826937, 0.44279311205254585, 0.12295790585611097, 0.5243305009693496, 0.941523744555328, 1.5548759140389585, 1.36155102171407]"
33,Watermelon Sugar,95.703125,"[-0.7556746840246857, 0.5884564630188094, 0.8500830226289724, 0.6672144475975336, 0.8421253174179356, 0.8531430056515564, 0.6216677138143443, -1.0084108375506675, -0.4491983738489353, -2.1538961915078385, -2.4227913988421697, -0.02309216652367014, -1.0849945998962427, -0.5850676965580075, -0.4910268942819154, 0.068719540504768, 0.5202463112279355, 0.01608584279528614, -0.967947756692686, -0.06782995007166584, -0.5446418339432811, -0.9066177899281783, -0.6225192720860725, 0.12002833169407148, -0.0506200296341686, 0.3210448079833154]"
34,WHATS POPPIN,143.5546875,"[1.2143967481609348, -0.7419289421579922, 1.427110134245981, 0.5192464387838605, 0.7836459543859055, 2.1066841818064668, -0.5568733685333574, -0.9749329541718138, 0.9094608969309758, -1.8445168798883576, 0.24009623124258364, -1.041958998270705, -0.6191288847168336, -0.05708902121189656, -0.5122206319469393, 0.908454806992018, -0.3381018127339943, 0.6403073814432582, -0.16039705050331995, -1.3214341056347836, 1.130629590716093, 0.053675532257618286, -0.49343508136036524, 0.8951481302997404, -0.20873769119344732, -0.5584259298240184]"
35,What°Øs your name£ø (collaboration with âØ√€),151.9990809,"[0.343209573020597, 0.44352967162916135, 0.693284530609924, 0.8335362334763063, 0.8615301454798979, 0.8036844283103314, 0.6515567805172039, -0.5907406071011734, 0.38859712736536767, -0.7440532760600872, -0.07454920885989438, -0.8628034981658607, 0.40369697765150997, -0.019705068275666413, -0.45847060951704766, 0.3749617250344777, -1.2401263221578633, -0.2863651078349696, -1.0219845950650708, -0.9487308062418858, -0.08118507937929895, -0.19929446331155248, 0.06444010369330538, 0.4047825829377483, 0.2832289544209791, 0.8764864328509592]"
36,§§§ƒ§‚∫Œ∂»§«§‚,112.3471467,"[-2.077751728577215, -1.4414731542323034, -1.823781213470375, -2.533725293522333, -1.9477160347583402, 0.31318329362377406, -2.858055362734748, 1.7828264428823524, 1.339694346393072, -1.0822406552973, 3.421224179808985, 2.5384484482929115, -0.7019898902422204, -4.363291532287983, -3.6360529370747887, -2.567672279503563, -1.1746650128245875, -2.0790315384143816, -1.8083173538981, -2.355021936900531, -0.5644773075262087, -0.9544928332275658, 0.9547032762966103, -1.4146809240991076, -2.1590363285092686, 0.13526404943008966]"
37,•∑•Ì•Ø•ﬁ,143.5546875,"[0.7669372459623875, -0.4700069225852804, 0.8241038649262722, 0.7236368752630404, 0.804978511828138, 1.158654297327502, 0.3904476036682185, -0.7786367564421848, 1.128205240437119, 1.319534098165202, 0.3595534427374592, 1.4370310029916815, -0.2931703785090997, 0.030594268711344005, 0.24085744039847334, 0.5467967867687799, 0.3205351514256592, 0.19252034039922883, -0.020983725938543772, 0.732209966144568, -0.12797427640997938, -0.1965864240170809, -0.6026219726494365, 0.19370897674673268, -1.3232582461752183, -0.5753998168338833]"
38,•‘•¢•Œ?•Ï•√•π•Û,143.5546875,"[-0.8942694355532302, -0.4321533919154826, 0.625631974866571, 0.7837435034469156, 0.7229102159978327, 0.6332368834134828, -0.07283392365214483, -0.5261347334445694, 0.46309427776421885, -1.305054261880287, -0.18947908533261126, -1.333949494741898, 0.11770909272702808, -1.290777413119511, -0.27532231976289295, -1.0760044826505308, -1.6577735912120295, -1.4255282480770883, -1.8167299984941812, -1.0035233078399308, -1.2308179458418955, -2.121278710086328, -0.5115587108160281, -0.5053452782923371, -0.8560319243045781, -0.2797024747667155]"
39,ƒ´º“…Òª˙,99.38401442,"[-1.4814944660620246, -1.2828584819475866, -1.1098242036492496, -1.2451730119348152, -1.2616577500080102, -0.44994902130976777, -1.2928467214078192, 0.8225602503030709, -1.6259499012263714, -0.6148100801560271, -1.0808963675864074, -0.7444741374516717, -0.5094924604314081, -0.6544640887511232, -1.214961937512964, -1.6303406395150464, -0.9870385626430083, -1.261046648181759, -0.3972895000523507, -0.6414839320287324, -0.22057542933227647, -1.4148324384136493, -1.5212341125260112, -0.6540120968912638, -0.7510347338427588, -2.1992935296565572]"
40,œƒ¡µ,92.28515625,"[-0.17709974117858135, 0.7383450436442073, -0.1481380839943345, 0.0309788997649848, -0.05961302038711526, -0.01831835741369811, 0.5784253353675033, 0.10737936972484519, -0.13524915178542352, -0.13957269062195743, -0.16782021271234276, 1.1140170408800882, 0.08265681596858249, 1.1794978490371315, 0.6847381181576248, -0.5804026071700423, -1.3460140797474371, 0.527726869892499, 0.7312267757269473, 0.5943116554049734, 0.3300710077524868, 0.1735955602285525, 0.04216088647528347, 0.6359646464483164, 1.055907475246959, 1.1001910466025409]"
